Arthur B. Davies	1928  192.0,279.0
Arthur B. Davies	1928  197.0,314.0
Arthur B. Davies	1928  179.0,254.0
Arthur B. Davies	1913  286.0,381.0
Arthur B. Davies	1928  184.0,275.0
Arthur B. Davies	1928  143.0,225.0
Arthur B. Davies	1928  181.0,281.0
Arthur B. Davies	1928  183.0,279.0
Arthur B. Davies	1928  232.0,319.0
Arthur B. Davies	1928  187.0,286.0
Arthur B. Davies	1928  283.0,448.0
Arthur B. Davies	1925  235.0,319.0
Arthur B. Davies	1928  133.0,254.0
Arthur B. Davies	1928  456.0,332.0
Arthur B. Davies	1908  159.0,260.0
Arthur B. Davies	1908  457.0,762.0
Arthur B. Davies	1928  419.0,305.0
Arthur B. Davies	1928  260.0,378.0
Arthur B. Davies	1928  144.0,225.0
Arthur B. Davies	1928  205.0,294.0
Arthur Clifton Goodwin	1913  637.0,535.0
Arthur Clifton Goodwin	1919  1270.0,1016.0
Arthur Fitzwilliam Tait	1882  292.0,356.0
Arthur Fitzwilliam Tait	1882  254.0,356.0
Arthur Fitzwilliam Tait	1897  254.0,308.0
Arthur Fitzwilliam Tait	1871  321.0,406.0
Arthur Fitzwilliam Tait	1874  254.0,343.0
Arthur Frank Mathews	1905  667.0,762.0
Artists of Mariwai Village	1973  1257.0,787.0
Artists of Mariwai Village	1973  1403.0,394.0
Artists of Mariwai Village	2000  241.0,2413.0
Artists of Mariwai Village	2000  2540.0,330.0
Artists of Mariwai Village	2000  1651.0,432.0
Artists of Mariwai Village	2000  1321.0,349.0
Artists of Mariwai Village	2000  1092.0,152.0
Artists of Mariwai Village	2000  1549.0,356.0
Artists of Mariwai Village	2000  1600.0,254.0
Artists of Mariwai Village	1970  1295.0,413.0
Artists of Mariwai Village	2000  1321.0,457.0
Artists of Mariwai Village	1973  1441.0,826.0
Artists of Mariwai Village	1973  1689.0,495.0
Artists of Mariwai Village	1973  1613.0,470.0
Artists of Mariwai Village	1973  1232.0,787.0
Artists of Mariwai Village	1973  1454.0,445.0
Artists of Mariwai Village	1973  1676.0,483.0
Artists of Mariwai Village	1973  1207.0,356.0
Artists of Mariwai Village	1973  1283.0,368.0
Asa Coolidge Warren	1904  245.0,399.0
Asen Maki	1966  2261.0,965.0
Aubusson	1765  962.0,743.0
Aubusson	1765  1016.0,2070.0
August Leopold Venus	1867  353.0,556.0
August R. Franzen	1906  1235.0,949.0
August Vogel	1881  711.0,508.0
Auguste Charles Pugin	1831  254.0,302.0
Auguste Edouart	1844  230.0,80.0
Auguste Edouart	1844  288.0,236.0
Auguste Edouart	1842  254.0,354.0
Auguste Edouart	1843  215.0,57.0
Auguste Edouart	1844  230.0,75.0
Auguste Raffet	1860  197.0,330.0
Auguste Renoir	1919  527.0,362.0
Auguste Renoir	1891  274.0,351.0
Auguste Rodin	1910  325.0,250.0
Auguste Rodin	1895  326.0,248.0
Auguste Rodin	1910  492.0,321.0
Auguste Rodin	1910  498.0,324.0
Auguste Rodin	1907  299.0,214.0
Auguste Rodin	1910  325.0,251.0
Augustin Pajou	1809  316.0,181.0
Augustus Vincent Tack	1949  1626.0,826.0
Augustus Vincent Tack	1909  914.0,914.0
Augustus Vincent Tack	1899  1016.0,736.0
Aurelio Luini	1595  420.0,290.0
Austin Osman Spare	1905  92.0,92.0
Avanzino Nucci	1610  224.0,123.0
B. Mansfield	1889  407.0,183.0
Baccio del Bianco	1656  269.0,190.0
Baccio del Bianco	1656  270.0,195.0
Bada Shanren (Zhu Da)	1705  197.0,152.0
Balthasar van der Ast	1657  95.0,120.0
Baron Louis Albert Guillain Bacler d'Albe	1824  385.0,546.0
