A&E Design Hans Ehrich Tom Ahlström	1993  870.0,370.0
Aleksandr Rodchenko Varvara Stepanova	1934  314.0,254.0
Aleksandr Rodchenko Varvara Stepanova	1935  420.0,300.0
Aleksandr Tyshler	1939  167.0,106.0
Aleksandr Tyshler	1939  160.0,108.0
Aleksandr Tyshler	1939  163.0,108.0
Aleksandra Mir	2004  210.0,145.0
Aleksandra Mir	2004  255.0,215.0
Aleksandra Mir	2003  279.0,210.0
Aleksandra Mir	2003  280.0,228.0
Aleksandra Mir	2007  240.0,270.0
Aleksandra Mir	2003  300.0,230.0
Aleksandra Mir	2002  410.0,295.0
Aleksandra Mir	1998  280.0,225.0
Aleksandra Mir	1998  267.0,204.0
Aleksandra Mir	2004  590.0,420.0
Aleksandra Mir	2007  190.0,190.0
Aleksandra Mir	2008  220.0,157.0
Aleksandra Mir	2009  269.0,210.0
Aleksandra Mir	2004  306.0,468.0
Aleksandra Mir	2004  355.0,275.0
Aleksandra Mir	2005  1120.0,1560.0
Aleksandra Mir	2008  300.0,420.0
Aleksandra Mir	2005  1588.0,1372.0
Aleksandra Mir	2005  1470.0,1120.0
Aleksandra Mir	2007  350.0,278.0
Aleksandra Mir	2005  1265.0,1580.0
Aleksandra Mir	1999  250.0,185.0
Aleksandra Mir	2009  265.0,225.0
Aleksandra Mir	2009  577.0,320.0
Aleksandra Mir	2007  330.0,255.0
Aleksandra Mir	2005  570.0,847.0
Aleksandra Mir	2005  355.0,250.0
Aleksandra Mir	2004  280.0,215.0
Aleksandra Mir	2006  225.0,140.0
Aleksandra Mir	2009  108.0,152.0
Aleksandra Mir	2005  824.0,575.0
Aleksandra Mir	2003  210.0,150.0
Aleksandra Mir	2006  323.0,224.0
Aleksandra Mir	2006  296.0,210.0
Aleksandra Mir	2006  300.0,220.0
Aleksandra Mir	2006  418.0,296.0
Aleksandra Mir	2005  230.0,195.0
Aleksandra Mir	2011  404.0,290.0
Aleksandra Mir	2006  190.0,137.0
Aleksandra Mir	2006  235.0,165.0
Aleksandra Mir	2011  240.0,170.0
Aleksandra Mir	2006  127.0,179.0
Aleksandra Mir	2011  295.0,210.0
Aleksandra Mir	2005  355.0,266.0
Aleksandra Mir	2010  243.0,205.0
Aleksandra Mir	2003  700.0,1000.0
Aleksandra Mir	2006  418.0,148.0
Aleksandra Mir	2000  310.0,230.0
Aleksandra Mir	2005  1580.0,1120.0
Aleksandra Mir	2004  240.0,166.0
Aleksandra Mir	2004  197.0,210.0
Aleksandra Mir	2003  253.0,191.0
Aleksandra Mir	2004  580.0,860.0
Aleksandra Mir	2003  249.0,190.0
Aleksandra Mir	2004  432.0,290.0
Aleksandra Mir	2004  270.0,210.0
Aleksandra Mir	2003  279.0,216.0
