A&E Design Hans Ehrich Tom Ahlström	1993  870.0,370.0
Louise Bourgeois	2001  386.0,267.0
Louise Bourgeois	2001  388.0,270.0
Louise Bourgeois	2001  405.0,354.0
Louise Bourgeois	2002  380.0,333.0
Louise Bourgeois	2001  410.0,330.0
Louise Bourgeois	1999  394.0,330.0
Louise Bourgeois	2007  1547.0,504.0
Louise Bourgeois	2006  1577.0,428.0
Louise Bourgeois	2006  1507.0,398.0
Louise Bourgeois	2006  1497.0,547.0
Louise Bourgeois	2006  1508.0,540.0
Louise Bourgeois	2009  2375.0,273.0
Louise Bourgeois	2009  2380.0,278.0
Louise Bourgeois	2000  235.0,303.0
Louise Bourgeois	2000  234.0,302.0
Louise Bourgeois	2000  230.0,298.0
Louise Bourgeois	2000  235.0,298.0
Louise Bourgeois	1999  228.0,300.0
Louise Bourgeois	1999  230.0,300.0
Louise Bourgeois	1999  235.0,302.0
Louise Bourgeois	2000  234.0,298.0
Louise Bourgeois	1999  230.0,298.0
Louise Bourgeois	1999  235.0,293.0
Louise Bourgeois	1999  237.0,300.0
Louise Bourgeois	1999  231.0,298.0
Louise Bourgeois	1999  231.0,301.0
Louise Bourgeois	1999  233.0,301.0
Louise Bourgeois	1995  295.0,210.0
Louise Bourgeois	1995  297.0,210.0
Louise Bourgeois	1995  298.0,210.0
Louise Bourgeois	1993  473.0,630.0
Louise Bourgeois	1993  475.0,635.0
Louise Bourgeois	1999  396.0,308.0
Louise Bourgeois	1997  630.0,760.0
Louise Bourgeois	1999  282.0,345.0
Louise Bourgeois	1999  280.0,350.0
Louise Bourgeois	1999  285.0,418.0
Louise Bourgeois	1974  250.0,330.0
Louise Bourgeois	1999  282.0,420.0
Louise Bourgeois	1999  285.0,378.0
Louise Bourgeois	1999  284.0,378.0
Louise Bourgeois	1999  285.0,377.0
Louise Bourgeois	1999  229.0,297.0
Louise Bourgeois	1999  236.0,302.0
Louise Bourgeois	2000  232.0,298.0
Louise Bourgeois	1999  237.0,298.0
Louise Bourgeois	1999  235.0,300.0
Louise Bourgeois	1999  235.0,296.0
Louise Bourgeois	1998  380.0,355.0
Louise Bourgeois	1995  260.0,215.0
Louise Bourgeois	1995  280.0,218.0
Louise Bourgeois	1995  270.0,205.0
Louise Bourgeois	1995  252.0,198.0
Louise Bourgeois	1984  470.0,330.0
Louise Bourgeois	1995  260.0,205.0
Louise Bourgeois	1995  285.0,204.0
Louise Bourgeois	1995  198.0,150.0
Louise Bourgeois	1995  280.0,217.0
Louise Bourgeois	1948  330.0,473.0
Louise Bourgeois	1948  470.0,330.0
Louise Bourgeois	1945  470.0,330.0
Louise Bourgeois	1944  470.0,330.0
Louise Bourgeois	1947  470.0,330.0
Louise Bourgeois	1942  470.0,330.0
Louise Bourgeois	1946  470.0,330.0
Louise Bourgeois	1990  470.0,330.0
Louise Bourgeois	1946  253.0,198.0
Louise Bourgeois	2007  1514.0,502.0
Louise Bourgeois	1995  253.0,202.0
Louise Bourgeois	1984  450.0,284.0
Louise Bourgeois	1997  265.0,192.0
Louise Bourgeois	1995  260.0,222.0
Louise Bourgeois	2007  1543.0,546.0
Louise Bourgeois	1995  198.0,175.0
Louise Bourgeois	1995  242.0,220.0
Louise Bourgeois	1978  320.0,430.0
Louise Bourgeois	1978  310.0,427.0
Louise Bourgeois	1978  310.0,434.0
Louise Bourgeois	1993  260.0,210.0
Louise Bourgeois	1995  302.0,285.0
Louise Bourgeois	1995  300.0,275.0
Louise Bourgeois	1974  260.0,324.0
Louise Bourgeois	1995  295.0,276.0
Louise Bourgeois	1995  302.0,283.0
Louise Bourgeois	1999  277.0,355.0
Louise Bourgeois	1999  277.0,356.0
Louise Bourgeois	1995  312.0,285.0
Louise Bourgeois	1999  278.0,356.0
Louise Bourgeois	1974  450.0,452.0
Louise Bourgeois	1999  710.0,335.0
Louise Bourgeois	1995  280.0,203.0
Louise Bourgeois	1947  230.0,164.0
Louise Bourgeois	1947  250.0,164.0
Louise Bourgeois	1947  250.0,163.0
Louise Bourgeois	1947  250.0,166.0
Louise Bourgeois	1995  282.0,216.0
Louise Bourgeois	1995  265.0,205.0
Louise Bourgeois	2007  1524.0,327.0
Louise Bourgeois	1995  282.0,202.0
Louise Bourgeois	1995  260.0,210.0
Louise Bourgeois	1995  295.0,205.0
Louise Bourgeois	1948  130.0,290.0
Louise Bourgeois	2007  1521.0,305.0
Louise Bourgeois	1995  385.0,275.0
Louise Bourgeois	1948  250.0,177.0
Louise Bourgeois	2007  1511.0,348.0
Louise Bourgeois	2006  1534.0,355.0
Louise Bourgeois	1995  370.0,275.0
Louise Bourgeois	1995 a28.2 ) 
Louise Bourgeois	1948  260.0,165.0
Louise Bourgeois	2006  1549.0,385.0
Louise Bourgeois	2006  1511.0,511.0
Louise Bourgeois	1995  280.0,206.0
Louise Bourgeois	1995  265.0,212.0
Louise Bourgeois	2005  1512.0,495.0
Louise Bourgeois	1947  250.0,330.0
Louise Bourgeois	2006  1520.0,438.0
Louise Bourgeois	1995  305.0,275.0
Louise Bourgeois	1995  313.0,265.0
Louise Bourgeois	1995  280.0,181.0
Louise Bourgeois	1990  250.0,179.0
Louise Bourgeois	1995  266.0,205.0
Louise Bourgeois	1995  275.0,200.0
Louise Bourgeois	1995  282.0,206.0
Louise Bourgeois	1995  280.0,200.0
Louise Bourgeois	1995  215.0,158.0
Louise Bourgeois	1949  330.0,255.0
Louise Bourgeois	1949  260.0,338.0
Louise Bourgeois	1949  280.0,260.0
Louise Bourgeois	1949  330.0,259.0
Louise Bourgeois	1995  278.0,200.0
Louise Bourgeois	1995  265.0,204.0
Louise Bourgeois	1948  250.0,329.0
Louise Bourgeois	1948  250.0,328.0
Louise Bourgeois	1995  270.0,218.0
Louise Bourgeois	1999  740.0,358.0
Louise Bourgeois	1995  280.0,216.0
Louise Bourgeois	1946  330.0,252.0
Louise Bourgeois	1995  285.0,217.0
Louise Bourgeois	1995  280.0,220.0
Louise Bourgeois	1946  200.0,282.0
Louise Bourgeois	1946  160.0,197.0
Louise Bourgeois	1946  140.0,185.0
Louise Bourgeois	1999  735.0,360.0
Louise Bourgeois	1995  282.0,218.0
Louise Bourgeois	1991  250.0,205.0
Louise Bourgeois	1995  262.0,215.0
Louise Bourgeois	1995  282.0,222.0
Louise Bourgeois	1995  285.0,220.0
Louise Bourgeois	1946  500.0,330.0
Louise Bourgeois	1995  285.0,218.0
Louise Bourgeois	1943  237.0,330.0
Louise Bourgeois	1995  280.0,223.0
Louise Bourgeois	1944  116.0,152.0
Louise Bourgeois	1995  283.0,220.0
Louise Bourgeois	1999  407.0,290.0
Louise Bourgeois	1999  464.0,403.0
Louise Bourgeois	1999  590.0,472.0
Louise Bourgeois	2000  765.0,560.0
Louise Bourgeois	2001  357.0,296.0
Louise Bourgeois	2001  410.0,348.0
Louise Bourgeois	1942  310.0,215.0
Louise Bourgeois	1942  310.0,232.0
Louise Bourgeois	1991  490.0,561.0
Louise Bourgeois	2001  377.0,253.0
Louise Bourgeois	1998  320.0,256.0
Louise Bourgeois	1997  265.0,190.0
Louise Bourgeois	2001  265.0,252.0
Louise Bourgeois	2001  438.0,283.0
Louise Bourgeois	2001  375.0,260.0
Louise Bourgeois	2001  395.0,253.0
Louise Bourgeois	1940  228.0,303.0
Louise Bourgeois	2000  350.0,278.0
Louise Bourgeois	1997  525.0,605.0
Louise Bourgeois	1997  512.0,582.0
Louise Bourgeois	1997  557.0,605.0
Louise Bourgeois	2001  360.0,285.0
Louise Bourgeois	1941  200.0,290.0
Louise Bourgeois	1941  200.0,292.0
Louise Bourgeois	1941  190.0,293.0
Louise Bourgeois	1941  200.0,294.0
Louise Bourgeois	1941  200.0,291.0
Louise Bourgeois	1941  230.0,319.0
Louise Bourgeois	1941  200.0,293.0
Louise Bourgeois	2001  390.0,280.0
Louise Bourgeois	2000  292.0,328.0
Louise Bourgeois	2000  152.0,293.0
Louise Bourgeois	2000  270.0,217.0
Louise Bourgeois	2000  406.0,305.0
Louise Bourgeois	1942  270.0,382.0
Louise Bourgeois	2003  343.0,270.0
Louise Bourgeois	2003  410.0,287.0
Louise Bourgeois	2003  413.0,275.0
Louise Bourgeois	2003  398.0,290.0
Louise Bourgeois	2001  503.0,354.0
Louise Bourgeois	2001  337.0,282.0
Louise Bourgeois	2003  440.0,280.0
Louise Bourgeois	1941  295.0,383.0
Louise Bourgeois	1941  290.0,403.0
Louise Bourgeois	2001  347.0,285.0
Louise Bourgeois	1999  308.0,430.0
Louise Bourgeois	1999  310.0,435.0
Louise Bourgeois	1938  110.0,151.0
Louise Bourgeois	1999  315.0,440.0
Louise Bourgeois	1999  312.0,435.0
Louise Bourgeois	1941  180.0,139.0
Louise Bourgeois	1941  330.0,253.0
Louise Bourgeois	1999  310.0,433.0
Louise Bourgeois	1999  305.0,435.0
Louise Bourgeois	1944  256.0,178.0
Louise Bourgeois	1944  205.0,148.0
Louise Bourgeois	1940  408.0,296.0
Louise Bourgeois	1939  305.0,457.0
Louise Bourgeois	1939  303.0,445.0
Louise Bourgeois	1939  306.0,457.0
Louise Bourgeois	1939  304.0,457.0
Louise Bourgeois	1939  305.0,418.0
Louise Bourgeois	1939  293.0,425.0
Louise Bourgeois	1939  305.0,454.0
Louise Bourgeois	1939  303.0,457.0
Louise Bourgeois	1939  305.0,431.0
Louise Bourgeois	1939  305.0,455.0
Louise Bourgeois	1939  305.0,456.0
Louise Bourgeois	1939  299.0,447.0
Louise Bourgeois	1939  323.0,271.0
Louise Bourgeois	1999  305.0,433.0
Louise Bourgeois	1999  310.0,438.0
Louise Bourgeois	1996  550.0,2438.0
Louise Bourgeois	1939  404.0,291.0
Louise Bourgeois	1939  400.0,289.0
Louise Bourgeois	1938  128.0,177.0
Louise Bourgeois	1999  700.0,324.0
Louise Bourgeois	2001  255.0,172.0
Louise Bourgeois	2000  393.0,278.0
Louise Bourgeois	2000  393.0,283.0
Louise Bourgeois	2001  257.0,275.0
Louise Bourgeois	2001  255.0,385.0
Louise Bourgeois	2001  420.0,333.0
Louise Bourgeois	2001  340.0,283.0
Louise Bourgeois	2001  403.0,355.0
Louise Bourgeois	2001  510.0,355.0
Louise Bourgeois	2002  370.0,507.0
Louise Bourgeois	2001  260.0,258.0
Louise Bourgeois	2001  142.0,170.0
Louise Bourgeois	2001  415.0,280.0
Louise Bourgeois	2001  400.0,270.0
Louise Bourgeois	2002  385.0,318.0
Louise Bourgeois	2001  405.0,325.0
Louise Bourgeois	2002  367.0,268.0
Louise Bourgeois	2003  342.0,275.0
Louise Bourgeois	2003  320.0,253.0
Louise Bourgeois	2003  343.0,253.0
Louise Bourgeois	2001  360.0,257.0
Louise Bourgeois	2001  400.0,330.0
Louise Bourgeois	2003  451.0,273.0
Louise Bourgeois	2001  283.0,234.0
Louise Bourgeois	2001  253.0,165.0
Louise Bourgeois	2001  227.0,165.0
Louise Bourgeois	2002  292.0,355.0
Louise Bourgeois	2002  264.0,337.0
Louise Bourgeois	2002  270.0,342.0
Louise Bourgeois	2002  274.0,343.0
Louise Bourgeois	2002  278.0,362.0
Louise Bourgeois	2002  271.0,362.0
Louise Bourgeois	2002  277.0,360.0
Louise Bourgeois	2002  280.0,335.0
Louise Bourgeois	2003  276.0,452.0
Louise Bourgeois	2003  305.0,355.0
Louise Bourgeois	2001  360.0,289.0
Louise Bourgeois	2001  533.0,457.0
Louise Bourgeois	2002  155.0,244.0
Louise Bourgeois	2000  170.0,270.0
Louise Bourgeois	2001  177.0,183.0
Louise Bourgeois	2001  190.0,180.0
Louise Bourgeois	2001  180.0,180.0
Louise Bourgeois	2002  170.0,167.0
Louise Bourgeois	2001  205.0,285.0
Louise Bourgeois	2001  205.0,280.0
Louise Bourgeois	1999  389.0,283.0
Louise Bourgeois	2001  267.0,435.0
Louise Bourgeois	2002  23.0,343.0
Louise Bourgeois	2002  257.0,335.0
Louise Bourgeois	2002  280.0,305.0
Louise Bourgeois	2002  265.0,323.0
Louise Bourgeois	2002  272.0,312.0
Louise Bourgeois	2002  270.0,337.0
Louise Bourgeois	2002  270.0,305.0
Louise Bourgeois	2002  320.0,360.0
Louise Bourgeois	2002  232.0,255.0
Louise Bourgeois	2001  355.0,267.0
Louise Bourgeois	1999  702.0,325.0
Louise Bourgeois	2001  285.0,430.0
Louise Bourgeois	2001  285.0,413.0
Louise Bourgeois	2001  323.0,380.0
Louise Bourgeois	2002  267.0,332.0
Louise Bourgeois	2002  276.0,442.0
Louise Bourgeois	2001  440.0,570.0
Louise Bourgeois	2003  428.0,280.0
Louise Bourgeois	2003  406.0,272.0
Louise Bourgeois	2003  470.0,356.0
Louise Bourgeois	2001  385.0,270.0
Louise Bourgeois	2003  455.0,270.0
Louise Bourgeois	2001  270.0,355.0
Louise Bourgeois	2001  275.0,355.0
Louise Bourgeois	2001  280.0,355.0
Louise Bourgeois	2002  155.0,130.0
Louise Bourgeois	2002  405.0,255.0
Louise Bourgeois	2002  343.0,355.0
Louise Bourgeois	2001  216.0,270.0
Louise Bourgeois	2001  257.0,416.0
Louise Bourgeois	2001  255.0,395.0
Louise Bourgeois	2002  398.0,270.0
Louise Bourgeois	2002  392.0,270.0
Louise Bourgeois	2002  395.0,270.0
Louise Bourgeois	2002  388.0,270.0
Louise Bourgeois	2002  392.0,334.0
Louise Bourgeois	2002  345.0,258.0
Louise Bourgeois	1999  400.0,320.0
Louise Bourgeois	1999  430.0,355.0
Louise Bourgeois	1999  406.0,210.0
Louise Bourgeois	2002  367.0,270.0
Louise Bourgeois	1999  430.0,354.0
Louise Bourgeois	1999  404.0,322.0
Louise Bourgeois	1999  350.0,247.0
Louise Bourgeois	1999  350.0,250.0
Louise Bourgeois	2002  360.0,265.0
Louise Bourgeois	1999  405.0,250.0
Louise Bourgeois	1999  762.0,570.0
Louise Bourgeois	2002  340.0,270.0
Louise Bourgeois	1999  645.0,510.0
Louise Bourgeois	1999  378.0,283.0
Louise Bourgeois	1999  660.0,438.0
Louise Bourgeois	2002  360.0,273.0
Louise Bourgeois	1999  415.0,283.0
Louise Bourgeois	1999  565.0,420.0
Louise Bourgeois	1999  735.0,490.0
Louise Bourgeois	1999  284.0,197.0
Louise Bourgeois	1999  760.0,560.0
Louise Bourgeois	2002  267.0,330.0
Louise Bourgeois	1999  398.0,283.0
Louise Bourgeois	1999  332.0,240.0
Louise Bourgeois	1999  276.0,360.0
Louise Bourgeois	2002  268.0,333.0
Louise Bourgeois	1999  267.0,343.0
Louise Bourgeois	2000  330.0,381.0
Louise Bourgeois	2002  270.0,328.0
Louise Bourgeois	2002  270.0,330.0
Louise Bourgeois	2002  272.0,378.0
Louise Bourgeois	1999  280.0,394.0
Louise Bourgeois	2002  290.0,343.0
Louise Bourgeois	2002  270.0,340.0
Louise Bourgeois	2002  270.0,360.0
Louise Bourgeois	2002  268.0,340.0
Louise Bourgeois	2002  280.0,356.0
Louise Bourgeois	2002  335.0,277.0
Louise Bourgeois	2002  360.0,280.0
Louise Bourgeois	2002  330.0,278.0
Louise Bourgeois	2002  393.0,278.0
Louise Bourgeois	2002  395.0,278.0
Louise Bourgeois	2002  390.0,280.0
Louise Bourgeois	2002  358.0,278.0
Louise Bourgeois	2002  395.0,280.0
Louise Bourgeois	2002  375.0,278.0
Louise Bourgeois	2002  375.0,275.0
Louise Bourgeois	2002  372.0,280.0
Louise Bourgeois	2002  470.0,274.0
Louise Bourgeois	2002  370.0,270.0
Louise Bourgeois	2002  270.0,336.0
Louise Bourgeois	2002  270.0,335.0
Louise Bourgeois	2002  272.0,336.0
Louise Bourgeois	2002  270.0,350.0
Louise Bourgeois	2007  370.0,260.0
Louise Bourgeois	2002  270.0,420.0
Louise Bourgeois	2002  270.0,200.0
Louise Bourgeois	2002  267.0,230.0
Louise Bourgeois	1998  200.0,260.0
Louise Bourgeois	1995  380.0,285.0
Louise Bourgeois	1995  290.0,156.0
Louise Bourgeois	1995  290.0,155.0
Louise Bourgeois	1998  406.0,298.0
Louise Bourgeois	2001  378.0,255.0
Louise Bourgeois	2001  382.0,254.0
Louise Bourgeois	1999  385.0,285.0
Louise Bourgeois	2001  407.0,331.0
Louise Bourgeois	2001  298.0,236.0
Louise Bourgeois	2001  380.0,255.0
Louise Bourgeois	2001  385.0,255.0
Louise Bourgeois	1947  233.0,93.0
Louise Bourgeois	1972  327.0,1688.0
Louise Bourgeois	2001  357.0,295.0
Louise Bourgeois	1998  493.0,480.0
Louise Bourgeois	2000  279.0,216.0
Louise Bourgeois	2001  338.0,255.0
Louise Bourgeois	2001  310.0,255.0
Louise Bourgeois	2001  305.0,238.0
Louise Bourgeois	2001  370.0,285.0
Louise Bourgeois	2001  349.0,280.0
Louise Bourgeois	1999  380.0,290.0
Louise Bourgeois	2000  395.0,285.0
Louise Bourgeois	2001  410.0,271.0
Louise Bourgeois	1999  395.0,331.0
Louise Bourgeois	2001  410.0,260.0
Louise Bourgeois	2001  408.0,260.0
Louise Bourgeois	2001  300.0,236.0
Louise Bourgeois	1973  280.0,372.0
Louise Bourgeois	2003  300.0,405.0
Louise Bourgeois	2003  398.0,285.0
Louise Bourgeois	2003  394.0,287.0
Louise Bourgeois	2001  333.0,255.0
Louise Bourgeois	2001  333.0,258.0
Louise Bourgeois	2003  365.0,287.0
Louise Bourgeois	2003  350.0,288.0
Louise Bourgeois	2003  363.0,285.0
Louise Bourgeois	2003  350.0,287.0
Louise Bourgeois	2003  250.0,315.0
Louise Bourgeois	2003  252.0,315.0
Louise Bourgeois	2002  285.0,393.0
Louise Bourgeois	2002  285.0,363.0
Louise Bourgeois	2002  285.0,350.0
Louise Bourgeois	2003  377.0,418.0
Louise Bourgeois	2003  285.0,395.0
Louise Bourgeois	2003  285.0,350.0
Louise Bourgeois	2003  287.0,395.0
Louise Bourgeois	2003  285.0,360.0
Louise Bourgeois	2003  325.0,382.0
Louise Bourgeois	2002  327.0,383.0
Louise Bourgeois	2002  400.0,328.0
Louise Bourgeois	2002  345.0,268.0
Louise Bourgeois	1999  386.0,272.0
Louise Bourgeois	2002  368.0,288.0
Louise Bourgeois	2002  155.0,206.0
Louise Bourgeois	2002  156.0,206.0
Louise Bourgeois	2002  153.0,205.0
Louise Bourgeois	2002  267.0,347.0
Louise Bourgeois	2002  269.0,345.0
Louise Bourgeois	2002  270.0,368.0
Louise Bourgeois	2002  225.0,177.0
Louise Bourgeois	2002  273.0,160.0
Louise Bourgeois	2002  225.0,208.0
Louise Bourgeois	2003  310.0,234.0
Louise Bourgeois	2002  373.0,273.0
Louise Bourgeois	2002  447.0,273.0
Louise Bourgeois	2002  435.0,360.0
Louise Bourgeois	2002  278.0,354.0
Louise Bourgeois	2002  282.0,358.0
Louise Bourgeois	2002  280.0,360.0
Louise Bourgeois	2002  280.0,385.0
Louise Bourgeois	2002  282.0,361.0
Louise Bourgeois	2002  284.0,320.0
Louise Bourgeois	2002  270.0,345.0
Louise Bourgeois	2002  265.0,347.0
Louise Bourgeois	2003  285.0,393.0
Louise Bourgeois	2003  283.0,393.0
Louise Bourgeois	2003  396.0,435.0
Louise Bourgeois	1973  283.0,378.0
Louise Bourgeois	2000  337.0,380.0
Louise Bourgeois	2003  268.0,370.0
Louise Bourgeois	2003  277.0,369.0
Louise Bourgeois	2003  325.0,368.0
Louise Bourgeois	2003  280.0,355.0
Louise Bourgeois	1946  109.0,147.0
Louise Bourgeois	2002  292.0,210.0
Louise Bourgeois	1994  570.0,455.0
Louise Bourgeois	1994  570.0,408.0
Louise Bourgeois	1993  300.0,220.0
Louise Bourgeois	1994  570.0,379.0
Louise Bourgeois	1994  482.0,344.0
Louise Bourgeois	2002  307.0,230.0
Louise Bourgeois	1994  360.0,281.0
Louise Bourgeois	1994  370.0,288.0
Louise Bourgeois	1993  190.0,213.0
Louise Bourgeois	1993  220.0,240.0
Louise Bourgeois	1993  330.0,386.0
Louise Bourgeois	2002  298.0,210.0
Louise Bourgeois	1994  350.0,386.0
Louise Bourgeois	1994  480.0,343.0
Louise Bourgeois	1994  280.0,378.0
Louise Bourgeois	1994  368.0,522.0
Louise Bourgeois	1993  410.0,286.0
Louise Bourgeois	1993  260.0,255.0
Louise Bourgeois	1993  270.0,222.0
Louise Bourgeois	1993  260.0,197.0
Louise Bourgeois	1994  560.0,376.0
Louise Bourgeois	1993  570.0,382.0
Louise Bourgeois	1993  640.0,434.0
Louise Bourgeois	2002  417.0,288.0
Louise Bourgeois	1989  634.0,458.0
Louise Bourgeois	1973  348.0,449.0
Louise Bourgeois	2002  298.0,208.0
Louise Bourgeois	1993  640.0,435.0
Louise Bourgeois	2002  300.0,208.0
Louise Bourgeois	1994  640.0,434.0
Louise Bourgeois	2002  302.0,208.0
Louise Bourgeois	1994  576.0,376.0
Louise Bourgeois	1994  570.0,389.0
Louise Bourgeois	1990  620.0,452.0
Louise Bourgeois	1995  300.0,242.0
Louise Bourgeois	1995  290.0,235.0
Louise Bourgeois	1995  280.0,234.0
Louise Bourgeois	1995  290.0,236.0
Louise Bourgeois	1995  290.0,248.0
Louise Bourgeois	1995  300.0,249.0
Louise Bourgeois	1995  300.0,240.0
Louise Bourgeois	1995  300.0,237.0
Louise Bourgeois	2002  303.0,208.0
Louise Bourgeois	1995  300.0,250.0
Louise Bourgeois	1999  370.0,408.0
Louise Bourgeois	1999  280.0,408.0
Louise Bourgeois	2002  570.0,395.0
Louise Bourgeois	2002  570.0,397.0
Louise Bourgeois	2002  375.0,373.0
Louise Bourgeois	2002  427.0,295.0
Louise Bourgeois	1999  420.0,359.0
Louise Bourgeois	1999  420.0,357.0
Louise Bourgeois	1999  380.0,280.0
Louise Bourgeois	1999  400.0,302.0
Louise Bourgeois	2002  424.0,295.0
Louise Bourgeois	2002  416.0,282.0
Louise Bourgeois	2002  275.0,298.0
Louise Bourgeois	1999  370.0,280.0
Louise Bourgeois	1999  390.0,284.0
Louise Bourgeois	1999  396.0,280.0
Louise Bourgeois	2002  300.0,207.0
Louise Bourgeois	1999  330.0,380.0
Louise Bourgeois	1999  270.0,385.0
Louise Bourgeois	1999  280.0,398.0
Louise Bourgeois	1999  340.0,255.0
Louise Bourgeois	2002  425.0,298.0
Louise Bourgeois	2002  425.0,295.0
Louise Bourgeois	2002  570.0,367.0
Louise Bourgeois	2002  372.0,282.0
Louise Bourgeois	2002  570.0,420.0
Louise Bourgeois	1999  280.0,207.0
Louise Bourgeois	1974  187.0,195.0
Louise Bourgeois	1999  390.0,331.0
Louise Bourgeois	1999  400.0,280.0
Louise Bourgeois	2002  268.0,230.0
Louise Bourgeois	1999  410.0,280.0
Louise Bourgeois	1999  430.0,358.0
Louise Bourgeois	1999  420.0,282.0
Louise Bourgeois	1974  260.0,308.0
Louise Bourgeois	2002  336.0,267.0
Louise Bourgeois	2002  367.0,282.0
Louise Bourgeois	2003  352.0,286.0
Louise Bourgeois	2003  370.0,275.0
Louise Bourgeois	1978  321.0,428.0
Louise Bourgeois	2003  366.0,273.0
Louise Bourgeois	1999  419.0,357.0
Louise Bourgeois	2003  362.0,267.0
Louise Bourgeois	2003  393.0,287.0
Louise Bourgeois	1974  530.0,350.0
Louise Bourgeois	2003  370.0,287.0
Louise Bourgeois	2003  355.0,285.0
Louise Bourgeois	2000  382.0,305.0
Louise Bourgeois	1948  169.0,251.0
Louise Bourgeois	2000  492.0,407.0
Louise Bourgeois	2000  493.0,407.0
Louise Bourgeois	1999  390.0,278.0
Louise Bourgeois	2003  397.0,285.0
Louise Bourgeois	1949  250.0,168.0
Louise Bourgeois	2003  400.0,285.0
Louise Bourgeois	2003  346.0,285.0
Louise Bourgeois	1948  250.0,167.0
Louise Bourgeois	1948  210.0,165.0
Louise Bourgeois	1948  250.0,181.0
Louise Bourgeois	1992  1205.0,943.0
Louise Bourgeois	2003  395.0,287.0
Louise Bourgeois	1999  279.0,391.0
Louise Bourgeois	2003  470.0,357.0
Louise Bourgeois	2003  228.0,230.0
Louise Bourgeois	2002  430.0,358.0
Louise Bourgeois	1947  250.0,165.0
Louise Bourgeois	2001  288.0,257.0
Louise Bourgeois	2001  305.0,324.0
Louise Bourgeois	2003  270.0,404.0
Louise Bourgeois	1947  220.0,166.0
Louise Bourgeois	1947  250.0,171.0
Louise Bourgeois	1947  210.0,180.0
Louise Bourgeois	2003  393.0,290.0
Louise Bourgeois	1948  250.0,168.0
Louise Bourgeois	1948  250.0,166.0
Louise Bourgeois	1948  170.0,130.0
Louise Bourgeois	1999  307.0,435.0
Louise Bourgeois	2002  665.0,765.0
Louise Bourgeois	2002  675.0,763.0
Louise Bourgeois	1948  130.0,285.0
Louise Bourgeois	1999  280.0,384.0
Louise Bourgeois	1999  330.0,390.0
Louise Bourgeois	2002  700.0,790.0
Louise Bourgeois	2003  692.0,780.0
Louise Bourgeois	2002  698.0,774.0
Louise Bourgeois	2002  685.0,765.0
Louise Bourgeois	2003  598.0,712.0
Louise Bourgeois	1999  280.0,378.0
Louise Bourgeois	2003  723.0,817.0
Louise Bourgeois	2003  725.0,816.0
Louise Bourgeois	2003  206.0,305.0
Louise Bourgeois	2001  394.0,284.0
Louise Bourgeois	2001  431.0,353.0
Louise Bourgeois	2005  366.0,435.0
Louise Bourgeois	1948  190.0,129.0
Louise Bourgeois	1948  230.0,130.0
Louise Bourgeois	1948  240.0,131.0
Louise Bourgeois	2002  403.0,437.0
Louise Bourgeois	2001  296.0,234.0
Louise Bourgeois	2001  282.0,391.0
Louise Bourgeois	2000  444.0,355.0
Louise Bourgeois	2002  460.0,380.0
Louise Bourgeois	2000  375.0,242.0
Louise Bourgeois	2000  358.0,248.0
Louise Bourgeois	1999  407.0,456.0
Louise Bourgeois	1999  433.0,382.0
Louise Bourgeois	2000  389.0,280.0
Louise Bourgeois	2000  392.0,282.0
Louise Bourgeois	2000  284.0,222.0
Louise Bourgeois	2000  388.0,300.0
Louise Bourgeois	2000  487.0,384.0
Louise Bourgeois	2001  368.0,267.0
Louise Bourgeois	2001  435.0,382.0
Louise Bourgeois	1998  425.0,527.0
Louise Bourgeois	1945  330.0,252.0
Louise Bourgeois	1998  381.0,559.0
Louise Bourgeois	1998  381.0,572.0
Louise Bourgeois	1998  241.0,241.0
Louise Bourgeois	1998  305.0,305.0
Louise Bourgeois	1998  267.0,267.0
Louise Bourgeois	2000  435.0,278.0
Louise Bourgeois	2000  420.0,280.0
Louise Bourgeois	2000  430.0,275.0
Louise Bourgeois	2000  405.0,280.0
Louise Bourgeois	1946  253.0,331.0
Louise Bourgeois	1946  255.0,329.0
Louise Bourgeois	2010  351.0,277.0
Louise Bourgeois	2000  275.0,216.0
Louise Bourgeois	1949  330.0,258.0
Louise Bourgeois	1949  260.0,210.0
Louise Bourgeois	1949  330.0,251.0
Louise Bourgeois	1949  330.0,224.0
Louise Bourgeois	1949  300.0,241.0
Louise Bourgeois	1949  310.0,255.0
Louise Bourgeois	1949  250.0,340.0
Louise Bourgeois	1949  330.0,256.0
Louise Bourgeois	1949  330.0,252.0
Louise Bourgeois	1949  330.0,331.0
Louise Bourgeois	1997  323.0,221.0
Louise Bourgeois	2000  405.0,287.0
Louise Bourgeois	1990  1270.0,2507.0
Louise Bourgeois	1948  220.0,145.0
Louise Bourgeois	1995  635.0,490.0
Louise Bourgeois	1948  250.0,174.0
Louise Bourgeois	1948  250.0,165.0
Louise Bourgeois	2001  229.0,305.0
Louise Bourgeois	2000  430.0,252.0
Louise Bourgeois	1999  350.0,192.0
Louise Bourgeois	1997  419.0,408.0
Louise Bourgeois	1997  395.0,361.0
Louise Bourgeois	1948  190.0,225.0
Louise Bourgeois	1992  457.0,343.0
Louise Bourgeois	1948  240.0,162.0
Louise Bourgeois	1948  210.0,175.0
Louise Bourgeois	1948  240.0,164.0
Louise Bourgeois	1948  250.0,183.0
Louise Bourgeois	2000  370.0,285.0
Louise Bourgeois	1948  250.0,169.0
